ber,hardened,accuracy,corrupted_weight_bytes,scrub_corrections,ecc_double_errors,tmr_disagreements,inferences_total
0.0,0,1.0,0,0,0,0,30
0.0,1,1.0,0,0,0,0,30
0.003,0,0.9666666666666667,91,0,0,0,30
0.003,1,1.0,0,92,0,101,30
0.01,0,0.9666666666666667,266,0,0,0,30
0.01,1,1.0,0,270,0,314,30
0.03,0,0.9666666666666667,901,0,0,0,30
0.03,1,1.0,0,909,0,882,30
0.1,0,0.9666666666666667,2849,0,0,0,30
0.1,1,1.0,5,3017,74,3038,30
0.2,0,0.7666666666666667,5400,0,0,0,30
0.2,1,1.0,27,6040,444,6103,30
0.4,0,0.7,9561,0,0,0,30
0.4,1,1.0,73,11932,1151,12077,30
